Fecha,Metal,Precio
26/03/2001,NIQUEL (¢/lb),274.88
26/03/2001,ORO (US$/ozt),261.75
26/03/2001,PLATA (US$/ozt),4.35
26/03/2001,PLOMO (¢/lb),22.32
26/03/2001,ZINC (¢/lb),44.93
27/03/2001,ALUMINIO (¢/lb),66.77
27/03/2001,COBRE (¢/lb),76.45
27/03/2001,ESTAÑO (¢/lb),227.7
27/03/2001,NIQUEL (¢/lb),271.7
27/03/2001,ORO (US$/ozt),262.38
27/03/2001,PLATA (US$/ozt),4.37
27/03/2001,PLOMO (¢/lb),21.84
27/03/2001,ZINC (¢/lb),44.59
28/03/2001,ALUMINIO (¢/lb),67
28/03/2001,COBRE (¢/lb),76.66
28/03/2001,ESTAÑO (¢/lb),227.93
28/03/2001,NIQUEL (¢/lb),272.16
28/03/2001,ORO (US$/ozt),260.68
28/03/2001,PLATA (US$/ozt),4.43
28/03/2001,PLOMO (¢/lb),21.59
28/03/2001,ZINC (¢/lb),44.77
29/03/2001,ALUMINIO (¢/lb),66.63
29/03/2001,COBRE (¢/lb),75.5
29/03/2001,ESTAÑO (¢/lb),224.08
29/03/2001,NIQUEL (¢/lb),271.25
29/03/2001,ORO (US$/ozt),260.18
29/03/2001,PLATA (US$/ozt),4.36
29/03/2001,PLOMO (¢/lb),21.48
29/03/2001,ZINC (¢/lb),44.75
30/03/2001,ALUMINIO (¢/lb),66.63
30/03/2001,COBRE (¢/lb),75.57
30/03/2001,ESTAÑO (¢/lb),222.26
30/03/2001,NIQUEL (¢/lb),267.17
30/03/2001,ORO (US$/ozt),258.38
30/03/2001,PLATA (US$/ozt),4.33
30/03/2001,PLOMO (¢/lb),21.68
30/03/2001,ZINC (¢/lb),44.32
02/04/2001,ALUMINIO (¢/lb),66.13
02/04/2001,COBRE (¢/lb),74.8
02/04/2001,ESTAÑO (¢/lb),226.34
02/04/2001,NIQUEL (¢/lb),264.44
02/04/2001,ORO (US$/ozt),256.75
02/04/2001,PLATA (US$/ozt),4.3
02/04/2001,PLOMO (¢/lb),21.32
02/04/2001,ZINC (¢/lb),43.79
03/04/2001,ALUMINIO (¢/lb),66.02
03/04/2001,COBRE (¢/lb),74.91
03/04/2001,ESTAÑO (¢/lb),228.38
03/04/2001,NIQUEL (¢/lb),272.16
03/04/2001,ORO (US$/ozt),257.05
03/04/2001,PLATA (US$/ozt),4.33
03/04/2001,PLOMO (¢/lb),21.59
03/04/2001,ZINC (¢/lb),44.23
04/04/2001,ALUMINIO (¢/lb),66.75
04/04/2001,COBRE (¢/lb),75.73
04/04/2001,ESTAÑO (¢/lb),226.8
04/04/2001,NIQUEL (¢/lb),273.06
04/04/2001,ORO (US$/ozt),259.33
04/04/2001,PLATA (US$/ozt),4.33
04/04/2001,PLOMO (¢/lb),21.86
04/04/2001,ZINC (¢/lb),44.77
05/04/2001,ALUMINIO (¢/lb),66.61
05/04/2001,COBRE (¢/lb),75.48
05/04/2001,ESTAÑO (¢/lb),225.66
05/04/2001,NIQUEL (¢/lb),277.37
05/04/2001,ORO (US$/ozt),258.15
05/04/2001,PLATA (US$/ozt),4.35
05/04/2001,PLOMO (¢/lb),21.73
05/04/2001,ZINC (¢/lb),44.84
06/04/2001,ALUMINIO (¢/lb),66.88
